"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
826740598,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS155626962","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"GB","Lincoln Cathedral area","England",NA,5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.234634,-0.535646,NA,NA,NA,NA,NA,NA,"2012-06-06T00:00:00Z",6,6,2012,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS155626962",NA,NA,NA,"CC0_1_0",NA,"obsr178037",NA,NA,"2019-09-20T17:41:19.683Z",NA,"COORDINATE_ROUNDED"
827455647,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS155627009","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corone",NA,"SPECIES","Corvus corone Linnaeus, 1758","Corvus corone",NA,"GB","Lincoln Cathedral area","England",NA,2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.234634,-0.535646,NA,NA,NA,NA,NA,NA,"2012-06-07T00:00:00Z",7,6,2012,9409796,9409796,"HUMAN_OBSERVATION","CLO","EBIRD","OBS155627009",NA,NA,NA,"CC0_1_0",NA,"obsr178037",NA,NA,"2019-09-20T18:47:31.240Z",NA,"COORDINATE_ROUNDED"
827786968,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS155627015","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus",NA,"SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"GB","Lincoln Cathedral area","England",NA,2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.234634,-0.535646,NA,NA,NA,NA,NA,NA,"2012-06-07T00:00:00Z",7,6,2012,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS155627015",NA,NA,NA,"CC0_1_0",NA,"obsr178037",NA,NA,"2019-09-20T18:30:15.143Z",NA,"COORDINATE_ROUNDED"
2171492970,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS622225638","Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna tadorna",NA,"SPECIES","Tadorna tadorna (Linnaeus, 1758)","Tadorna tadorna",NA,"GB","Kirkby Gravel Pits","England",NA,2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.131685,-0.150998,NA,NA,NA,NA,NA,NA,"2018-05-22T00:00:00Z",22,5,2018,2498009,2498009,"HUMAN_OBSERVATION","CLO","EBIRD","OBS622225638",NA,NA,NA,"CC0_1_0",NA,"obsr499529",NA,NA,"2019-09-21T03:42:56.538Z",NA,"COORDINATE_ROUNDED"
2171505391,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS622225629","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus",NA,"SPECIES","Apus apus (Linnaeus, 1758)","Apus apus",NA,"GB","Kirkby Gravel Pits","England",NA,NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.131685,-0.150998,NA,NA,NA,NA,NA,NA,"2018-05-22T00:00:00Z",22,5,2018,5228676,5228676,"HUMAN_OBSERVATION","CLO","EBIRD","OBS622225629",NA,NA,NA,"CC0_1_0",NA,"obsr499529",NA,NA,"2019-09-20T15:44:59.258Z",NA,"COORDINATE_ROUNDED"
2171508378,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS622225627","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas strepera",NA,"SPECIES","Mareca strepera (Linnaeus, 1758)","Mareca strepera",NA,"GB","Kirkby Gravel Pits","England",NA,4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.131685,-0.150998,NA,NA,NA,NA,NA,NA,"2018-05-22T00:00:00Z",22,5,2018,9362027,2498151,"HUMAN_OBSERVATION","CLO","EBIRD","OBS622225627",NA,NA,NA,"CC0_1_0",NA,"obsr499529",NA,NA,"2019-09-20T20:49:21.008Z",NA,"COORDINATE_ROUNDED"
2171515094,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS622225628","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca",NA,"SPECIES","Anas crecca Linnaeus, 1758","Anas crecca",NA,"GB","Kirkby Gravel Pits","England",NA,NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.131685,-0.150998,NA,NA,NA,NA,NA,NA,"2018-05-22T00:00:00Z",22,5,2018,8214667,8214667,"HUMAN_OBSERVATION","CLO","EBIRD","OBS622225628",NA,NA,NA,"CC0_1_0",NA,"obsr499529",NA,NA,"2019-09-20T15:40:37.230Z",NA,"COORDINATE_ROUNDED"
2171515326,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS622225621","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya fuligula",NA,"SPECIES","Aythya fuligula (Linnaeus, 1758)","Aythya fuligula",NA,"GB","Kirkby Gravel Pits","England",NA,NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.131685,-0.150998,NA,NA,NA,NA,NA,NA,"2018-05-22T00:00:00Z",22,5,2018,2498261,2498261,"HUMAN_OBSERVATION","CLO","EBIRD","OBS622225621",NA,NA,NA,"CC0_1_0",NA,"obsr499529",NA,NA,"2019-09-20T16:10:37.969Z",NA,"COORDINATE_ROUNDED"
2171620799,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS616498569","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos",NA,"SPECIES","Anas platyrhynchos Linnaeus, 1758","Anas platyrhynchos",NA,"GB","Whisby Nature Park","England",NA,3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.189682,-0.634761,NA,NA,NA,NA,NA,NA,"2018-04-30T00:00:00Z",30,4,2018,9761484,9761484,"HUMAN_OBSERVATION","CLO","EBIRD","OBS616498569",NA,NA,NA,"CC0_1_0",NA,"obsr1044519",NA,NA,"2019-09-20T15:35:41.784Z",NA,"COORDINATE_ROUNDED"
2171621347,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS616498591","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Fringilla coelebs",NA,"SPECIES","Fringilla coelebs Linnaeus, 1758","Fringilla coelebs",NA,"GB","Whisby Nature Park","England",NA,1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.189682,-0.634761,NA,NA,NA,NA,NA,NA,"2018-04-30T00:00:00Z",30,4,2018,2494422,2494422,"HUMAN_OBSERVATION","CLO","EBIRD","OBS616498591",NA,NA,NA,"CC0_1_0",NA,"obsr1044519",NA,NA,"2019-09-20T19:14:33.791Z",NA,"COORDINATE_ROUNDED"
2171624439,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS616498571","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo",NA,"SPECIES","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo",NA,"GB","Whisby Nature Park","England",NA,1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.189682,-0.634761,NA,NA,NA,NA,NA,NA,"2018-04-30T00:00:00Z",30,4,2018,2481890,2481890,"HUMAN_OBSERVATION","CLO","EBIRD","OBS616498571",NA,NA,NA,"CC0_1_0",NA,"obsr1044519",NA,NA,"2019-09-21T01:45:07.444Z",NA,"COORDINATE_ROUNDED"
2171650796,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS616498582","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti",NA,"SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti",NA,"GB","Whisby Nature Park","England",NA,2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.189682,-0.634761,NA,NA,NA,NA,NA,NA,"2018-04-30T00:00:00Z",30,4,2018,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS616498582",NA,NA,NA,"CC0_1_0",NA,"obsr1044519",NA,NA,"2019-09-20T16:59:04.550Z",NA,"COORDINATE_ROUNDED"
2171654779,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS616498576","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corone",NA,"SPECIES","Corvus corone Linnaeus, 1758","Corvus corone",NA,"GB","Whisby Nature Park","England",NA,1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.189682,-0.634761,NA,NA,NA,NA,NA,NA,"2018-04-30T00:00:00Z",30,4,2018,9409796,9409796,"HUMAN_OBSERVATION","CLO","EBIRD","OBS616498576",NA,NA,NA,"CC0_1_0",NA,"obsr1044519",NA,NA,"2019-09-20T18:47:30.366Z",NA,"COORDINATE_ROUNDED"
2171657807,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS616498565","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser anser",NA,"SPECIES","Anser anser (Linnaeus, 1758)","Anser anser",NA,"GB","Whisby Nature Park","England",NA,6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.189682,-0.634761,NA,NA,NA,NA,NA,NA,"2018-04-30T00:00:00Z",30,4,2018,2498036,2498036,"HUMAN_OBSERVATION","CLO","EBIRD","OBS616498565",NA,NA,NA,"CC0_1_0",NA,"obsr1044519",NA,NA,"2019-09-20T15:54:46.763Z",NA,"COORDINATE_ROUNDED"
2171950022,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS622906706","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos",NA,"SPECIES","Turdus philomelos C.L.Brehm, 1831","Turdus philomelos",NA,"GB","Swanpool","England",NA,1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.22648,-0.56793,NA,NA,NA,NA,NA,NA,"2018-05-14T00:00:00Z",14,5,2018,7901064,7901064,"HUMAN_OBSERVATION","CLO","EBIRD","OBS622906706",NA,NA,NA,"CC0_1_0",NA,"obsr1044519",NA,NA,"2019-09-21T04:09:03.527Z",NA,"COORDINATE_ROUNDED"
2171952596,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS622906699","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus",NA,"SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"GB","Swanpool","England",NA,1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.22648,-0.56793,NA,NA,NA,NA,NA,NA,"2018-05-14T00:00:00Z",14,5,2018,2495000,2495000,"HUMAN_OBSERVATION","CLO","EBIRD","OBS622906699",NA,NA,NA,"CC0_1_0",NA,"obsr1044519",NA,NA,"2019-09-20T15:11:56.638Z",NA,"COORDINATE_ROUNDED"
2171960656,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS622906707","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus viscivorus",NA,"SPECIES","Turdus viscivorus Linnaeus, 1758","Turdus viscivorus",NA,"GB","Swanpool","England",NA,3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",53.22648,-0.56793,NA,NA,NA,NA,NA,NA,"2018-05-14T00:00:00Z",14,5,2018,2490774,2490774,"HUMAN_OBSERVATION","CLO","EBIRD","OBS622906707",NA,NA,NA,"CC0_1_0",NA,"obsr1044519",NA,NA,"2019-09-21T02:09:35.549Z",NA,"COORDINATE_ROUNDED"
